cgpa,backlogs,certifications,internship,aptitude,coding,communication,projects,hackathon,resume,branch,placement_readiness,company_fit,placement_score
6.29,3,6,0,10,10,0,1,1,3,MECH,0,Not Eligible,55.58
8.3,3,5,2,7,10,8,2,1,1,CSE,1,Tier 2,78.1
9.09,0,1,2,9,0,5,2,0,6,CSE,0,Not Eligible,66.18
7.78,4,7,2,3,3,10,6,1,10,CSE,1,Tier 2,81.56
7.65,4,0,1,1,9,1,7,0,1,ECE,0,Not Eligible,43.8
6.21,4,0,1,3,2,6,6,1,10,ECE,0,Not Eligible,50.92
5.47,2,5,1,10,8,2,2,0,3,ECE,0,Not Eligible,60.94
9.49,1,4,2,3,4,5,0,0,5,CSE,0,Not Eligible,61.980000000000004
9.5,3,8,2,10,3,7,1,1,5,ISE,1,Tier 2,81.0
8.17,4,6,2,8,7,2,3,0,2,CSE,0,Not Eligible,64.84
6.7,0,1,2,9,4,4,3,1,3,ECE,0,Not Eligible,66.9
6.75,4,6,0,10,2,5,5,0,9,ECE,0,Not Eligible,62.0
8.63,1,2,0,5,1,0,7,0,1,MECH,0,Not Eligible,44.260000000000005
9.49,1,0,1,9,7,9,7,0,1,CIVIL,1,Tier 2,75.48
9.44,3,7,1,5,1,6,7,1,2,MECH,0,Not Eligible,67.88
8.9,2,2,2,4,7,3,4,1,8,MECH,0,Not Eligible,67.8
8.21,3,7,0,5,4,9,0,0,6,CSE,0,Not Eligible,59.42
5.42,4,6,0,0,7,10,7,1,4,CIVIL,0,Not Eligible,59.34
5.81,0,1,1,4,4,6,5,0,7,CIVIL,0,Not Eligible,58.62
9.49,3,0,0,5,0,6,5,1,6,CSE,0,Not Eligible,50.480000000000004
8.03,2,6,1,7,10,10,0,1,9,ISE,1,Tier 2,84.56
5.05,3,0,2,3,10,4,0,0,6,AI&DS,0,Not Eligible,47.6
5.51,1,5,2,4,1,7,2,0,2,CSE,0,Not Eligible,57.019999999999996
8.32,4,9,1,3,5,7,0,0,3,ISE,0,Not Eligible,58.14
5.03,4,9,2,6,2,4,3,1,9,ISE,0,Not Eligible,67.06
5.8,4,7,2,9,7,4,0,0,7,CIVIL,0,Not Eligible,62.599999999999994
7.74,4,6,0,5,4,6,6,0,6,CSE,0,Not Eligible,60.980000000000004
8.46,4,3,0,3,2,5,2,1,5,CSE,0,Not Eligible,42.92
8.26,4,0,0,5,9,3,1,1,3,CIVIL,0,Not Eligible,40.019999999999996
6.12,0,0,0,3,6,1,5,0,4,MECH,0,Not Eligible,43.24
8.56,2,3,0,7,7,7,7,0,1,CSE,0,Not Eligible,68.62
6.19,4,4,1,10,3,2,0,1,5,AI&DS,0,Not Eligible,48.88
6.63,2,6,1,2,10,1,6,1,7,AI&DS,0,Not Eligible,70.75999999999999
8.73,4,3,0,7,8,9,6,1,2,ECE,0,Not Eligible,68.46000000000001
8.25,3,9,2,1,5,6,5,1,8,ECE,1,Tier 2,78.5
9.25,4,0,2,5,0,9,1,0,10,CSE,0,Not Eligible,54.5
8.29,1,9,1,7,4,5,4,0,6,ISE,1,Tier 2,79.58
7.84,0,6,1,0,4,7,2,1,10,AI&DS,0,Not Eligible,71.18
5.47,3,1,1,5,6,5,5,0,3,AI&DS,0,Not Eligible,50.94
6.84,3,1,2,8,6,6,0,0,2,CIVIL,0,Not Eligible,50.68
6.33,1,7,1,9,5,1,4,0,8,AI&DS,0,Not Eligible,72.16
6.22,4,9,2,9,7,9,4,1,4,ISE,1,Tier 2,85.94
9.87,0,9,1,1,1,1,1,0,7,ECE,0,Not Eligible,60.239999999999995
6.97,3,9,2,10,6,5,5,1,7,ECE,1,Tier 2,88.44
9.46,0,4,1,0,9,8,5,0,10,CIVIL,1,Tier 2,79.42
8.16,3,9,1,1,6,2,3,1,9,ECE,0,Not Eligible,65.82
8.97,4,1,2,4,3,10,3,1,10,MECH,0,Not Eligible,64.44
7.51,3,4,1,5,9,9,3,1,8,ECE,0,Not Eligible,74.52
7.88,3,7,0,0,1,7,5,0,8,AI&DS,0,Not Eligible,55.75999999999999
7.46,2,5,2,6,3,4,5,0,7,ISE,0,Not Eligible,70.42
5.98,4,2,1,10,3,5,3,0,10,ISE,0,Not Eligible,56.96000000000001
8.61,1,7,2,3,5,5,2,0,5,MECH,0,Not Eligible,68.72
6.4,1,8,1,8,6,10,6,0,9,ISE,1,Tier 2,92.8
5.12,4,4,0,5,2,9,6,1,7,ISE,0,Not Eligible,57.24000000000001
8.23,1,1,1,8,9,10,6,0,3,ISE,1,Tier 2,80.96000000000001
5.89,4,1,1,0,0,2,7,0,6,CSE,0,Not Eligible,34.78
9.7,1,6,0,3,2,10,0,0,3,MECH,0,Not Eligible,55.9
9.77,2,0,2,1,8,10,0,0,6,MECH,0,Not Eligible,60.03999999999999
9.57,1,9,1,5,0,4,2,1,8,ECE,0,Not Eligible,71.64
6.85,3,1,1,3,7,0,1,1,9,AI&DS,0,Not Eligible,45.7
5.08,4,9,0,8,1,1,6,1,2,MECH,0,Not Eligible,50.16
9.64,0,3,2,2,5,9,6,1,6,CIVIL,1,Tier 2,82.28
7.14,0,0,2,0,2,2,0,0,3,MECH,0,Not Eligible,35.28
9.83,4,3,0,10,6,3,5,1,7,CIVIL,0,Not Eligible,64.16
9.82,2,9,0,10,1,8,4,0,4,ISE,1,Tier 2,77.14
9.27,1,4,1,0,3,0,5,1,5,AI&DS,0,Not Eligible,56.04
6.47,2,8,0,8,9,2,7,1,10,CIVIL,1,Tier 2,80.44
6.93,0,0,0,8,8,2,0,0,6,AI&DS,0,Not Eligible,51.86
9.26,4,4,0,4,5,5,7,0,8,AI&DS,0,Not Eligible,62.519999999999996
6.58,4,1,2,1,3,4,7,1,2,CSE,0,Not Eligible,49.16
5.85,2,8,0,8,1,2,2,0,4,AI&DS,0,Not Eligible,51.2
7.78,2,5,1,7,9,3,1,0,4,ISE,0,Not Eligible,64.06
9.68,1,1,1,10,8,10,0,0,6,CIVIL,0,Not Eligible,73.36
8.48,3,2,1,9,3,6,2,1,4,AI&DS,0,Not Eligible,59.96000000000001
7.85,3,7,0,9,8,2,4,1,5,ISE,0,Not Eligible,70.2
5.49,1,0,2,5,1,8,3,1,5,CSE,0,Not Eligible,57.980000000000004
8.08,3,2,0,6,6,7,4,1,8,ISE,0,Not Eligible,63.66
9.95,0,9,0,5,10,1,4,0,4,ISE,1,Tier 2,78.9
5.7,3,0,1,4,10,4,6,0,6,MECH,0,Not Eligible,54.4
7.59,1,7,0,3,4,3,1,0,7,ECE,0,Not Eligible,54.18
9.39,3,0,2,6,7,4,0,0,8,CIVIL,0,Not Eligible,55.28
8.7,4,4,1,3,10,2,7,1,9,ECE,0,Not Eligible,70.9
8.49,2,3,2,9,7,9,3,0,10,CSE,1,Tier 1,85.48
8.51,0,6,2,9,3,10,2,1,8,CSE,1,Tier 1,92.02
6.8,4,4,2,9,3,0,3,1,4,ISE,0,Not Eligible,55.599999999999994
6.47,4,7,0,8,7,7,0,1,4,ECE,0,Not Eligible,58.94
9.05,1,0,0,4,2,8,1,0,10,CIVIL,0,Not Eligible,50.1
9.05,2,4,0,7,6,7,0,0,5,CIVIL,0,Not Eligible,57.1
9.34,2,3,0,5,7,3,2,1,3,ISE,0,Not Eligible,56.18
9.57,0,2,1,3,7,1,3,1,2,CIVIL,0,Not Eligible,57.64
7.56,1,4,0,2,10,3,4,0,2,MECH,0,Not Eligible,54.62
7.51,0,9,1,10,9,8,0,1,9,ECE,1,Tier 2,94.52
8.99,3,2,2,5,3,9,7,0,8,CSE,1,Tier 2,75.48
8.25,4,7,1,0,8,8,5,1,6,CIVIL,0,Not Eligible,68.5
8.51,0,2,0,1,9,4,1,1,9,CIVIL,0,Not Eligible,58.019999999999996
8.98,4,0,1,6,3,4,1,0,5,CIVIL,0,Not Eligible,39.46
9.45,1,8,0,3,7,9,3,0,10,ISE,1,Tier 2,81.4
6.69,3,8,0,4,5,2,4,1,1,CSE,0,Not Eligible,53.88
6.88,1,5,1,10,4,5,2,1,8,ECE,0,Not Eligible,73.25999999999999
5.47,3,9,1,9,3,6,4,0,3,CIVIL,0,Not Eligible,64.94
7.89,3,0,2,0,4,9,7,1,9,MECH,0,Not Eligible,64.28
5.18,4,7,2,1,10,8,3,1,1,AI&DS,0,Not Eligible,65.86
7.33,1,1,2,3,0,6,4,1,3,ISE,0,Not Eligible,56.16
7.71,1,8,2,7,6,2,3,1,1,ECE,0,Not Eligible,74.92
6.43,0,7,2,9,7,6,4,1,1,CIVIL,1,Tier 2,83.86
7.95,1,2,1,3,8,0,0,1,6,ECE,0,Not Eligible,51.4
5.15,0,4,2,2,2,1,1,0,4,ISE,0,Not Eligible,46.8
5.19,2,8,1,2,8,3,3,1,10,AI&DS,0,Not Eligible,68.88
9.11,2,0,2,4,9,6,3,0,4,MECH,0,Not Eligible,62.72
6.8,2,8,0,2,4,8,1,1,5,CIVIL,0,Not Eligible,56.6
5.64,1,3,2,7,9,4,5,1,3,MECH,0,Not Eligible,72.28
7.61,1,3,0,4,5,7,5,0,2,ISE,0,Not Eligible,59.22
8.85,0,3,1,6,0,6,2,0,10,MECH,0,Not Eligible,62.7
6.08,3,9,2,10,8,4,3,0,8,ISE,1,Tier 2,83.16
8.11,0,8,1,7,8,2,0,0,7,AI&DS,0,Not Eligible,74.72
5.43,2,5,2,4,5,2,4,0,10,MECH,0,Not Eligible,61.36
5.26,0,7,1,7,7,5,0,1,4,ECE,0,Not Eligible,69.02
7.66,3,3,2,2,3,9,3,0,2,ECE,0,Not Eligible,55.31999999999999
7.7,1,2,2,6,4,10,2,0,9,ISE,0,Not Eligible,74.4
8.19,0,0,0,7,4,3,7,0,8,ECE,0,Not Eligible,63.379999999999995
8.63,2,9,1,6,6,2,7,1,4,AI&DS,1,Tier 2,81.26
9.88,2,6,1,1,6,3,7,1,5,MECH,0,Not Eligible,69.76
7.58,1,3,1,7,6,2,3,1,10,MECH,0,Not Eligible,66.66
6.61,0,7,1,5,4,9,7,0,6,CIVIL,1,Tier 2,81.22
8.98,3,2,1,9,3,10,2,1,4,ISE,0,Not Eligible,66.96000000000001
6.35,1,0,0,2,7,10,1,1,2,ECE,0,Not Eligible,49.2
7.19,0,4,2,3,0,5,4,1,5,AI&DS,0,Not Eligible,65.38
5.39,4,1,0,6,0,6,7,1,1,ISE,0,Not Eligible,41.78
5.13,2,2,1,2,5,3,7,0,7,ECE,0,Not Eligible,53.26
9.81,3,5,1,0,1,2,7,0,9,CIVIL,0,Not Eligible,55.120000000000005
9.18,3,2,2,5,2,2,0,0,3,MECH,0,Not Eligible,41.86
8.48,3,2,0,2,3,10,2,0,6,MECH,0,Not Eligible,46.46
7.04,2,5,2,10,1,2,0,0,9,AI&DS,0,Not Eligible,61.58
5.87,0,4,2,9,9,8,6,0,4,CSE,1,Tier 3,89.74000000000001
5.78,1,9,0,5,6,10,1,0,6,ISE,0,Not Eligible,71.06
6.25,0,8,2,9,9,10,3,0,3,ECE,1,Tier 2,93.5
7.75,1,0,0,2,0,2,2,1,9,CSE,0,Not Eligible,39.5
8.57,3,2,0,5,2,2,4,1,7,ISE,0,Not Eligible,48.64
8.3,0,2,1,10,1,7,6,0,7,ECE,1,Tier 2,75.6
6.4,3,5,2,3,8,3,2,0,4,CIVIL,0,Not Eligible,54.8
9.77,4,7,1,3,7,6,5,1,6,ISE,0,Not Eligible,74.53999999999999
8.69,3,2,2,9,2,2,3,1,8,ECE,0,Not Eligible,62.879999999999995
7.77,3,2,2,9,4,7,3,1,6,MECH,0,Not Eligible,67.53999999999999
8.06,1,5,1,10,2,2,4,0,6,ISE,0,Not Eligible,68.12
7.1,4,7,1,1,10,4,4,1,4,ECE,0,Not Eligible,62.7
6.24,3,5,1,3,10,0,1,0,8,AI&DS,0,Not Eligible,52.980000000000004
6.78,3,9,0,10,10,4,6,1,10,MECH,1,Tier 2,85.56
8.79,4,2,2,3,5,5,6,1,8,MECH,0,Not Eligible,64.08
5.07,4,3,0,10,4,6,0,0,9,CSE,0,Not Eligible,48.14
5.58,0,0,2,6,10,1,7,1,6,ECE,0,Not Eligible,73.66
5.23,1,7,2,4,1,1,2,0,2,CSE,0,Not Eligible,51.46
5.2,4,3,0,7,9,8,1,1,4,AI&DS,0,Not Eligible,54.400000000000006
9.28,4,5,0,6,7,9,0,0,4,CSE,0,Not Eligible,58.56
8.52,2,2,2,9,5,0,6,0,8,CIVIL,0,Not Eligible,68.03999999999999
7.37,4,5,1,8,2,1,7,0,5,CSE,0,Not Eligible,58.24000000000001
5.49,1,8,1,7,0,1,7,1,4,CSE,0,Not Eligible,66.98
7.46,3,8,1,8,4,9,1,0,8,CIVIL,0,Not Eligible,70.42
7.37,3,9,1,0,10,6,5,1,3,CIVIL,0,Not Eligible,70.74000000000001
5.87,3,2,2,9,1,5,4,1,2,ISE,0,Not Eligible,57.24000000000001
7.17,3,2,1,2,1,8,4,0,4,CSE,0,Not Eligible,47.84
6.99,2,3,1,4,8,10,3,0,1,MECH,0,Not Eligible,60.980000000000004
