Question,Option A,Option B,Option C,Option D,Answer
Which communication style is most likely to say "You never do it right""?",Passive,Aggressive,Assertive,Passive-aggressive,B
"What is the ""rule of three"" in communication?",Using three examples for impact,Speaking for three hours,Writing three-page memos,Having three meetings daily,A
Which of these is NOT a type of workplace communication?,Grapevine,Diagonal,Circular,Rectangular,D
"What does ""ETA"" stand for in business messages?",Estimated Time of Arrival,Edited Text Attachment,Executive Team Approval,Electronic Transaction Alert,A
Which of these demonstrates professional email etiquette?,ALL CAPS FOR IMPORTANCE,Colorful fonts and backgrounds,Clear subject line and signature,"Text speak like ""GR8""",C
What is the primary purpose of a communication plan?,To create confusion,To align stakeholders on messaging,To reduce transparency,To limit feedback,B
Which of these is a characteristic of high-context cultures?,Explicit verbal messages,Reliance on written contracts,Importance of non-verbal cues,Direct communication style,C
What is the recommended font size for presentation slides?,8-10 pt,12-14 pt,18-24 pt,30-36 pt,C
Which communication technique involves repeating key points?,Redundancy,Repetition for emphasis,Circular reasoning,Information overload,B
"What does ""OOO"" mean in email auto-replies?",Out Of Office,Only Official Operations,Office Order Online,Overly Obvious Objectives,A
Which of these is a key cross-cultural communication skill?,Ethnocentrism,Stereotyping,Patience,Interrupting,C
"What is the ""primacy effect"" in communication?",Remembering the middle content best,Forgetting the beginning,Recalling the first information strongest,Ignoring the conclusion,C
What percentage of meetings are considered unproductive by professionals?,10%,25%,50%,75%,C
Which of these is NOT a common email folder?,Inbox,Sent,Drafts,Circular,D
"What is the purpose of the ""P.S."" in written communication?",To appear unprofessional,To highlight an afterthought,To confuse readers,To meet word count,B
Which communication method is best for disciplinary action?,Public announcement,Written warning,Verbal only with no documentation,Gossip,B
"What does ""TBD"" stand for in business communication?",To Be Determined,Team Building Day,Total Business Development,Technical Background Document,A
Which of these is a characteristic of effective team communication?,Hidden agendas,Shared understanding,Withholding information,Blame culture,B
"What is the ""recency effect"" in communication?",Remembering the last information best,Forgetting recent details,Recalling only negative content,Ignoring the beginning,A
Which communication channel is most appropriate for a company-wide policy change?,Text message,Social media post,Email newsletter,Water cooler talk,C
"What does ""FAQ"" stand for?",Frequently Asked Questions,First Available Quality,Final Approval Query,Financial Assessment Quantity,A
Which of these demonstrates professional phone etiquette?,Eating during calls,Putting callers on hold indefinitely,Answering within 3 rings,Speaking in monotone,C
What is the primary purpose of a communication matrix?,To track who needs what information,To reduce all communication,To create more meetings,To eliminate emails,A
Which communication style is most likely to say "Whatever you want is fine with me""?",Assertive,Passive,Aggressive,Passive-aggressive,B
What percentage of professionals prefer email over phone calls for workplace communication?,10%,25%,50%,80%,D
Which of these is NOT a component of emotional intelligence in communication?,Self-awareness,Manipulation,Empathy,Social skills,B
Which communication method is best for brainstorming sessions?,One-way presentation,Open discussion,Silent treatment,Formal debate,B
"What does ""BCC"" stand for in email communication?",Blind Carbon Copy,Best Colleague Copy,Business Communication Channel,Basic Content Check,A
Which of these is a key principle of crisis communication?,Delay response,Hide information,Be transparent,Blame others,C
What is the recommended maximum duration for most business meetings?,30 minutes,1 hour,2 hours,4 hours,B
Which communication style is most likely to say "That's a stupid idea""?",Assertive,Passive,Aggressive,Passive-aggressive,C
What percentage of communication misunderstandings stem from poor listening?,10%,25%,50%,75%,C
Which of these is NOT a common presentation structure?,Introduction,Body,Conclusion,Digression,D
"What is the purpose of ""icebreakers"" in communication?",To create tension,To build rapport,To criticize participants,To waste time,B
"Which communication technique involves asking ""What I hear you saying is...""?",Interrupting,Paraphrasing,Distracting,Manipulating,B
"What does ""RSVP"" stand for in invitations?",Répondez S'il Vous Plaît,Really Special Venue Party,Respond Soon Via Phone,Required Scheduled Visit Plan,A
Which of these is a characteristic of low-context cultures?,Reliance on implicit messages,Importance of relationships,Explicit detailed communication,High use of non-verbal cues,C
"What is the ""80/20 rule"" in communication?",80% listening/20% speaking,80% writing/20% reading,80% formal/20% informal,80% criticism/20% praise,A
Which communication channel is best for confidential information?,Public forum,Group chat,Encrypted email,Social media,C
"What does ""NRN"" mean in email communication?",No Reply Necessary,New Resource Needed,Next Review Notice,National Radio Network,A
Which of these demonstrates effective nonverbal communication in presentations?,Reading slides with back to audience,Hands in pockets,Open posture and gestures,Fidgeting constantly,C
What is the primary purpose of a communication log?,To track important exchanges,To spy on employees,To replace meetings,To create bureaucracy,A
What percentage of communication effectiveness comes from credibility/trust?,10%,33%,55%,75%,B
Which of these is NOT a barrier to intercultural communication?,Ethnocentrism,Stereotypes,Cultural awareness,Language differences,C
Which communication method is best for recognizing employee achievements?,Private email,Public acknowledgment,No recognition,Gossip,B
"What does ""EOD"" stand for in business communication?",End Of Day,Evidence Of Delivery,Executive Oversight Department,Email On Demand,A
Which of these is a key active listening technique?,Multitasking,Interrupting to agree,Maintaining eye contact,Finishing speaker's sentences,C
What is the recommended word count for most professional emails?,50-100 words,150-200 words,300-400 words,500+ words,A
What percentage of communication is visual in video conferences?,7%,38%,55%,80%,C
Which of these is NOT a common communication assessment tool?,DiSC,MBTI,SMOG,BMI,D
What is the primary purpose of a communication policy?,To eliminate all communication,To provide guidelines for effective exchanges,To create more bureaucracy,To limit transparency,B
Which of these demonstrates effective virtual communication?,Poor lighting and background noise,Turning camera off without explanation,Muting when not speaking,Dressing professionally and good audio quality,D
"What does ""COB"" stand for in business communication?",Close Of Business,Conference Of Bosses,Communication Of Benefits,Corporate Office Bulletin,A
Which communication style is most likely to say "I feel frustrated when meetings start late""?",Aggressive,Passive,Assertive,Passive-aggressive,C
Which of these is a key principle of effective feedback?,Generalizations,Focus on personality,Specific behaviors,Delayed timing,C
"What percentage of professionals experience ""meeting fatigue""?",10%,25%,50%,75%,D
Which communication channel is best for complex project updates?,Text message,Phone call,Detailed email,Social media post,C
"What does ""FWIW"" mean in digital communication?",For What It's Worth,Forward With Important Work,File With Internal Writer,Free Wireless Internet Access,A
Which of these is a characteristic of effective leadership communication?,Unclear direction,Transparency and vision,Withholding information,Frequent criticism,B
"What is the ""5-second rule"" in presentations?",Make eye contact for 5 seconds,Speak for 5 seconds then pause,Have 5-word slides,Walk 5 steps while talking,A
Which communication method is best for sensitive performance reviews?,Public announcement,One-on-one meeting,Group email,Gossip,B
"What does ""OOO"" mean in business communication?",Out Of Office,Only Official Operations,Office Order Online,Overly Obvious Objectives,A
Which of these demonstrates cultural sensitivity in communication?,Using sports metaphors with international teams,Learning basic greetings in other languages,Speaking very slowly to all non-native speakers,Assuming your culture's norms are universal,B
"What is the ""pyramid principle"" in business writing?",Burying key points,Building from details to conclusion,Starting with main idea first,Using triangular formatting,C
What percentage of message retention comes from visuals in presentations?,10%,25%,50%,75%,D
Which of these is NOT a common communication platform?,Slack,Microsoft Teams,LinkedIn,Photoshop,D
"What does ""TL;DR"" mean in digital communication?",Too Long; Didn't Read,Total Length; Detailed Report,Team Leader's Direct Response,Technical Language; Difficult Reasoning,A
Which communication technique involves finding common ground?,Mirroring,Placating,Stonewalling,Bridging,D
Which of these is a key principle of email etiquette?,Using all caps for emphasis,Including a clear call-to-action,Long paragraphs without spacing,Unprofessional subject lines,B
"What does ""EOM"" mean in email subject lines?",End Of Message,Error On Mail,Executive Office Memo,Early Morning Meeting,A
"What is the ""two-minute rule"" in communication?",Interrupt after two minutes,Keep voicemails under two minutes,Meetings should be two minutes,Emails must be two words,B
Which of these demonstrates effective meeting communication?,No agenda,Starting late,Summarizing action items,Allowing side conversations,C
"What does ""YOYO"" mean in business communication?",You're On Your Own,Yesterday's Output Yearly Overview,Year Over Year Objectives,Young Officers Youth Organization,A
Which communication method is best for urgent operational issues?,Next week's newsletter,Quarterly report,Instant messaging,Yearly review,C
Which of these is a key networking communication skill?,Talking only about yourself,Active listening and asking questions,Handing out as many cards as possible,Avoiding eye contact,B
What percentage of professionals prefer visual data over text?,10%,25%,50%,65%,D
Which communication channel is best for formal contracts?,Text message,Social media,Registered mail,Verbal agreement,C
"What does ""HTH"" mean in digital communication?",Hope This Helps,Happy To Help,Hard To Handle,High Technical Honor,A
Which of these demonstrates professional voicemail etiquette?,Speaking quickly and unclearly,Leaving a detailed callback number,Background noise,No name or purpose,B
What percentage of workplace conflicts stem from poor communication?,30%,50%,70%,90%,D
Which of these is NOT a component of effective public speaking?,Monotone delivery,Clear structure,Audience engagement,Authenticity,A
"What does ""IMO"" mean in digital communication?",In My Opinion,Internal Mail Only,International Meeting Option,Important Managerial Order,A
Which communication technique involves summarizing key points?,"Yes, and...",What I'm hearing is...,But...,No...,B
"What is the ""7%-38%-55% rule"" in communication?",Words-Tone-Body language impact,Reading-Writing-Speaking time,Planning-Executing-Reviewing phases,Listening-Speaking-Silence ratio,A
Which of these is a key principle of crisis communication?Delay the response Withhold information,Be first," be right"," be credible",Blame others,C
"What does ""TIA"" mean in email communication?",Thanks In Advance,Technical Information Attachment,Team Integration Activity,Total Inventory Analysis,A
Which communication style is most likely to say " ""I'd like to hear your thoughts on this""?",Aggressive,Passive,Assertive,Passive-aggressive,C
"What is the ""24-hour rule"" in emotional communication?",Respond immediately,Wait 24 hours before responding to emotional triggers,Have 24 meetings daily,Write 24 drafts before sending,B
Which of these demonstrates effective cross-cultural email communication?,Using slang and idioms,Short simple sentences with clear requests,Long paragraphs with complex grammar,No subject line,B
"What does ""N/A"" stand for in business communication?",Not Applicable,No Answer,New Assignment,Network Access,A
Which communication method is best for team building activities?,Formal memos,Video conferences,In-person activities,Email chains,C
Which of these is a characteristic of toxic workplace communication?,Open dialogue,Constructive feedback,Backstabbing and gossip,Active listening,C
What percentage of communication is lost in email-only exchanges?,10%,25%,50%,70%,D
Which communication channel is best for brainstorming creative ideas?,Formal report,Video conference with whiteboarding,Text message,Bulletin board,B
"What does ""OT"" mean in digital communication?",Off Topic,Over Time,Official Task,Office Technology,A
Which of these demonstrates effective listening skills?,Finishing the speaker's sentences,Asking clarifying questions,Checking phone during conversation,Planning your response while they speak,B
"What is the ""BAB"" formula in persuasive communication?",Before-After-Bridge,Big-Audacious-Bold,Boring-Average-Basic,Business-As-Usual-Benchmark,A
What percentage of professionals admit to multitasking during virtual meetings?,10%,25%,50%,65%,D
Which of these is NOT a principle of effective business writing?,Use passive voice,Be concise,Know your audience,Have clear purpose,A
"What does ""WIIFM"" stand for in persuasive communication?",What's In It For Me,When Is Information Formalized,Weekly Internal Financial Meeting,Where Is Important File Managed,A
Which communication technique involves acknowledging emotions?,Calm down,I understand this is frustrating,That's not important,Don't feel that way,B
Which of these is a key principle of effective delegation communication?,Vague instructions,Specific expectations and deadlines,No follow-up,Blame if things go wrong,B
"What does ""EOD"" stand for in business communication?",End Of Day,Evidence Of Delivery,Executive Oversight Department,Email On Demand,A
Which communication style is most likely to say "Let's find a solution that works for both of us""?",Aggressive,Passive,Assertive,Manipulative,C
What percentage of communication is misinterpreted without visual cues?,10%,25%,50%,70%,D
Which of these is NOT a common communication pitfall?,Information overload,Lack of feedback,Active listening,Ambiguity,C
"What does ""RSVP"" stand for in event planning?",Répondez S'il Vous Plaît,Really Special Venue Party,Required Staff Vacation Plan,Remember Scheduled Visitor Please,A
Which communication method is best for customer complaints?,Public social media response,Formal letter with 30-day response time,Prompt personalized response,Ignore the complaint,C
Which of these demonstrates professional social media communication?,Sharing confidential information,Posting offensive content,Engaging respectfully with customers,Ignoring customer messages,C
"What does ""NRN"" mean in email communication?",No Reply Necessary,New Resource Needed,Next Review Notice,National Radio Network,A
Which communication style is most likely to say " ""I appreciate your perspective""?",Aggressive,Passive,Assertive,Passive-aggressive,C
"What is the ""80/20 rule"" in listening?",80% talking/20% listening,80% listening/20% talking,80% interrupting/20% silence,80% planning/20% hearing,B
Which of these is a key principle of effective virtual presentations?,Poor lighting,Reading slides verbatim,Engaging the audience,Technical difficulties,C
"What does ""BRB"" mean in digital communication?",Be Right Back,Business Reply Back,Brief Response Break,Boring Regular Business,A
Which communication technique involves matching the speaker's energy level?,Mirroring,Contradicting,Ignoring,Overpowering,A
"What is the ""3-second rule"" in presentations?",Pause 3 seconds after key points,Have 3-second slides,Speak for 3 seconds only,Walk 3 steps between points,A
Which of these is a characteristic of effective conflict communication?,Personal attacks,Active listening,Stonewalling,Defensiveness,B
"What does ""TBD"" stand for in business communication?",To Be Determined,Team Building Day,Total Business Development,Technical Background Document,A
Which communication style is most likely to say when " ""I need this done by Friday"" (with rationale)?",Aggressive,Passive,Assertive,Passive-aggressive,C
What percentage of communication effectiveness comes from the speaker's credibility?,10%,25%,50%,75%,D
Which of these is NOT a type of listening?,Active,Passive,Selective,Circular,D
"What does ""FYI"" stand for in business communication?",For Your Information,For Your Interest,For Your Improvement,For Your Inspection,A
Which communication method is best for detailed project specifications?,Verbal only,Written documentation,Text message,Social media post,B
"What is the ""KISS"" principle in communication?",Keep It Short and Simple,Keep It Strictly Secret,Know Important Sales Strategies,Key Information Sharing System,A
Which of these demonstrates effective nonverbal communication in interviews?,Slouching,Fidgeting,Firm handshake,Avoiding eye contact,C
"What does ""COB"" stand for in business communication?",Close Of Business,Conference Of Bosses,Communication Of Benefits,Corporate Office Bulletin,A
What percentage of professionals prefer face-to-face communication for important discussions?,10%,25%,50%,80%,D
Which of these is NOT a common communication skill assessment?,Active listening test,Nonverbal interpretation,Writing clarity,Typing speed,D
"What does ""ASAP"" stand for in business communication?",As Soon As Possible,As Simple As Possible,Always State Actual Plans,All Systems Are Prepared,A
Which communication technique involves asking open-ended questions?,Interrogation,Active listening,Stonewalling,Manipulation,B
Which of these is a key principle of effective feedback?,Focus on personality,Be vague and general,Provide specific examples,Delay giving feedback,C
"What does ""IMO"" mean in digital communication?",In My Opinion,Internal Mail Only,International Meeting Option,Important Managerial Order,A
What percentage of message impact comes from body language in face-to-face communication?,7%,38%,55%,93%,C
Which of these is NOT a common communication barrier?,Noise,Language differences,Clarity,Assumptions,C
"What does ""EOM"" mean in email subject lines?",End Of Message,Error On Mail,Executive Office Memo,Early Morning Meeting,A
Which communication method is best for building team morale?,Public criticism,Regular recognition,Ignoring achievements,Withholding praise,B
